0,0,1,0.00
1,0,10,0.02
2,0,22,0.02
3,2,20,0.09
4,4,21,0.07
5,2,20,0.04
6,1,18,0.03
7,0,23,0.06
8,0,16,0.06
9,0,20,0.03
10,0,26,0.01
11,1,25,0.03
12,4,21,0.05
13,1,23,0.03
14,1,29,0.02
15,2,28,0.02
16,1,23,0.05
17,2,24,0.04
18,1,28,0.06
19,2,27,0.05
20,1,24,0.07
21,2,19,0.04
22,0,19,0.01
23,1,24,0.05
24,3,30,0.03
25,0,32,0.10
26,6,30,0.05
27,0,21,0.04
28,2,28,0.04
29,3,29,0.04
30,0,35,0.10
31,1,32,0.09
32,1,25,0.04
33,1,27,0.04
34,0,31,0.03
35,2,35,0.06
36,2,29,0.05
37,0,24,0.05
38,1,22,0.06
39,0,15,0.05
40,2,21,0.04
41,2,22,0.04
42,1,23,0.06
43,1,23,0.03
44,0,25,0.01
45,2,24,0.10
46,2,20,0.10
47,0,25,0.02
48,7,29,0.06
49,0,30,0.01
50,0,30,0.03
51,3,28,0.10
52,0,35,0.04
53,0,35,0.06
54,1,31,0.06
55,1,24,0.04
56,0,22,0.03
57,1,23,0.09
58,0,29,0.05
59,0,24,0.04
60,3,33,0.03
61,3,32,0.05
62,2,32,0.07
63,1,29,0.07
64,2,33,0.02
65,3,35,0.03
66,3,34,0.04
67,1,30,0.10
68,0,35,0.08
69,4,30,0.04
70,0,29,0.01
71,1,27,0.04
72,4,29,0.04
73,0,28,0.04
74,4,31,0.06
75,0,37,0.05
76,1,32,0.03
77,1,33,0.10
78,3,37,0.03
79,3,28,0.03
80,0,19,0.07
81,0,16,0.02
82,0,16,0.01
83,1,24,0.04
84,0,25,0.02
85,1,29,0.05
86,3,31,0.03
87,4,33,0.04
88,1,30,0.06
89,1,30,0.04
90,2,33,0.03
91,2,31,0.03
92,2,27,0.05
93,4,27,0.04
94,0,23,0.04
95,0,24,0.10
96,0,33,0.02
97,3,28,0.03
98,4,26,0.09
99,0,25,0.05
100,4,27,0.02
101,2,24,0.04
102,1,27,0.06
103,2,22,0.03
104,0,16,0.10
105,2,23,0.07
106,2,29,0.08
107,0,29,0.02
108,0,29,0.06
109,3,35,0.04
110,2,33,0.04
111,3,28,0.04
112,2,30,0.03
113,0,26,0.09
114,1,28,0.05
115,3,34,0.05
116,4,35,0.04
117,2,34,0.05
118,4,33,0.05
119,1,31,0.10
120,5,24,0.05
121,2,30,0.05
122,4,30,0.03
123,1,17,0.04
124,1,23,0.02
125,1,27,0.03
126,4,35,0.06
127,0,34,0.02
128,2,40,0.04
129,4,35,0.05
130,3,29,0.06
131,6,29,0.04
132,0,33,0.05
133,2,33,0.06
134,1,31,0.11
135,2,40,0.08
136,2,35,0.07
137,0,34,0.05
138,1,28,0.04
139,2,23,0.03
140,2,21,0.03
141,2,19,0.04
142,1,22,0.06
143,4,28,0.05
144,1,22,0.03
145,2,30,0.05
146,3,29,0.05
147,2,26,0.03
148,0,24,0.03
149,3,28,0.07
150,0,32,0.07
151,6,30,0.07
152,3,34,0.06
